"filename", "language", "JavaScript React", "Less", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\404.jsx", "JavaScript React", 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Admin.jsx", "JavaScript React", 52, 0, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Assign.js", "JavaScript", 0, 0, 109, 0, 0, 0, 4, 8, 121
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Attachment.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 6, 44
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Contract.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Contract.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 6, 54
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractDisplay.js", "JavaScript", 0, 0, 119, 0, 0, 0, 17, 11, 147
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.css", "CSS", 0, 0, 0, 64, 0, 0, 0, 10, 74
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.js", "JavaScript", 0, 0, 283, 0, 0, 0, 549, 8, 840
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractUpload.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 3, 33
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractVerify.js", "JavaScript", 0, 0, 230, 0, 0, 0, 55, 9, 294
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocumentVerify.js", "JavaScript", 0, 0, 644, 0, 0, 0, 1, 7, 652
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentDisplay.js", "JavaScript", 0, 0, 591, 0, 0, 0, 7, 4, 602
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentFill.js", "JavaScript", 0, 0, 607, 0, 0, 0, 8, 5, 620
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentList.js", "JavaScript", 0, 0, 154, 0, 0, 0, 3, 9, 166
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentVerify.js", "JavaScript", 0, 0, 750, 0, 0, 0, 11, 8, 769
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Form.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 1, 21
