"filename", "language", "JavaScript", "JavaScript React", "Markdown", "Less", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractDisplay.js", "JavaScript", 133, 0, 0, 0, 4, -3, 134
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.js", "JavaScript", 20, 0, 0, 0, 0, -1, 19
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocDisplay.js", "JavaScript", 105, 0, 0, 0, 15, 2, 122
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocVerify.js", "JavaScript", 139, 0, 0, 0, 0, 2, 141
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocumentVerify.js", "JavaScript", 91, 0, 0, 0, 1, 3, 95
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Documents.js", "JavaScript", -15, 0, 0, 0, 0, 0, -15
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Download.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentFill.js", "JavaScript", 113, 0, 0, 0, 1, -5, 109
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\EntrustmentVerify.js", "JavaScript", -76, 0, 0, 0, -7, 14, -69
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home.js", "JavaScript", -26, 0, 0, 0, 26, 0, 0
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Banner0.jsx", "JavaScript React", 0, 52, 0, 0, 0, 2, 54
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Banner5.jsx", "JavaScript React", 0, 44, 0, 0, 0, 2, 46
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Content0.jsx", "JavaScript React", 0, 47, 0, 0, 0, 3, 50
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Content1.jsx", "JavaScript React", 0, 68, 0, 0, 0, 3, 71
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Content3.jsx", "JavaScript React", 0, 91, 0, 0, 0, 4, 95
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Feature0.jsx", "JavaScript React", 0, 47, 0, 0, 0, 3, 50
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Feature6.jsx", "JavaScript React", 0, 144, 0, 0, 0, 10, 154
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Feature7.jsx", "JavaScript React", 0, 38, 0, 0, 0, 4, 42
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Feature8.jsx", "JavaScript React", 0, 130, 0, 0, 0, 10, 140
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Footer0.jsx", "JavaScript React", 0, 25, 0, 0, 0, 3, 28
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Footer1.jsx", "JavaScript React", 0, 65, 0, 0, 0, 5, 70
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Nav0.jsx", "JavaScript React", 0, 130, 0, 0, 0, 6, 136
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\Nav3.jsx", "JavaScript React", 0, 131, 0, 0, 0, 6, 137
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\data.source.js", "JavaScript", 715, 0, 0, 0, 0, 1, 716
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\documentation.md", "Markdown", 0, 0, 3, 0, 0, 2, 5
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\index.jsx", "JavaScript React", 0, 85, 0, 0, 9, 8, 102
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\antMotionStyle.less", "Less", 0, 0, 0, 9, 0, 0, 9
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\banner0.less", "Less", 0, 0, 0, 82, 1, 2, 85
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\banner5.less", "Less", 0, 0, 0, 94, 1, 16, 111
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\common.less", "Less", 0, 0, 0, 30, 6, 7, 43
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\content.less", "Less", 0, 0, 0, 42, 0, 3, 45
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\content0.less", "Less", 0, 0, 0, 46, 0, 10, 56
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\content1.less", "Less", 0, 0, 0, 75, 0, 2, 77
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\content3.less", "Less", 0, 0, 0, 51, 0, 2, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\custom.less", "Less", 0, 0, 0, 26, 2, 8, 36
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\edit.less", "Less", 0, 0, 0, 75, 0, 2, 77
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\feature0.less", "Less", 0, 0, 0, 46, 0, 10, 56
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\feature6.less", "Less", 0, 0, 0, 97, 0, 22, 119
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\feature7.less", "Less", 0, 0, 0, 68, 0, 14, 82
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\feature8.less", "Less", 0, 0, 0, 182, 0, 36, 218
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\footer0.less", "Less", 0, 0, 0, 27, 0, 2, 29
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\footer1.less", "Less", 0, 0, 0, 96, 0, 3, 99
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\nav0.less", "Less", 0, 0, 0, 156, 0, 32, 188
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\less\nav3.less", "Less", 0, 0, 0, 161, 0, 31, 192
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Home\utils.js", "JavaScript", 16, 0, 0, 0, 0, 3, 19
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\JS012.js", "JavaScript", -246, 0, 0, 0, -5, -4, -255
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Progress.js", "JavaScript", 229, 0, 0, 0, 12, 1, 242
