"filename", "language", "JavaScript", "CSS", "JavaScript React", "Less", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\404.jsx", "JavaScript React", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Admin.jsx", "JavaScript React", 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Assign.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 4, 8, 121
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Attachment.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Contract.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Contract.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractDisplay.js", "JavaScript", 251, 0, 0, 0, 0, 0, 0, 4, 6, 261
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.css", "CSS", 0, 64, 0, 0, 0, 0, 0, 0, 10, 74
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractFill.js", "JavaScript", 323, 0, 0, 0, 0, 0, 0, 550, 7, 880
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractUpload.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\ContractVerify.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 47, 11, 221
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocDisplay.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 15, 2, 122
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocVerify.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 2, 141
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\DocumentVerify.js", "JavaScript", 736, 0, 0, 0, 0, 0, 0, 2, 10, 748
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Documents.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 2, 123
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\Download.js", "JavaScript", 292, 0, 0, 0, 0, 0, 0, 0, 5, 297
