Date : 2022-06-27 17:08:47
Directory : d:\工作\软工实验\sep\SE-Project-Front\src\pages
Total : 283 files,  25721 codes, 1290 comments, 1685 blanks, all 28696 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |        145 |     11,777 |         99 |        935 |     12,811 |
| JavaScript       |         67 |      8,638 |      1,168 |        397 |     10,203 |
| Less             |         62 |      2,864 |         16 |        305 |      3,185 |
| JSON             |          3 |      2,051 |          0 |          3 |      2,054 |
| HTML             |          1 |        220 |          0 |         16 |        236 |
| CSS              |          5 |        171 |          7 |         29 |        207 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        283 |     25,721 |      1,290 |      1,685 |     28,696 |
| TableList                                                                                                |          2 |        549 |         29 |         23 |        601 |
| TableList\components                                                                                     |          1 |        194 |          0 |          3 |        197 |
| account                                                                                                  |         26 |      3,683 |         10 |        153 |      3,846 |
| account\center                                                                                           |         14 |      1,040 |          6 |         84 |      1,130 |
| account\center\components                                                                                |         10 |        489 |          3 |         44 |        536 |
| account\center\components\Applications                                                                   |          2 |        171 |          2 |         10 |        183 |
| account\center\components\ArticleListContent                                                             |          2 |         51 |          0 |          6 |         57 |
| account\center\components\Articles                                                                       |          2 |         66 |          0 |          6 |         72 |
| account\center\components\AvatarList                                                                     |          2 |         99 |          0 |         14 |        113 |
| account\center\components\Projects                                                                       |          2 |        102 |          1 |          8 |        111 |
| account\settings                                                                                         |         12 |      2,643 |          4 |         69 |      2,716 |
| account\settings\components                                                                              |          6 |        455 |          0 |         38 |        493 |
| account\settings\geographic                                                                              |          2 |      1,922 |          0 |          2 |      1,924 |
| dashboard                                                                                                |         54 |      5,489 |         48 |        475 |      6,012 |
| dashboard\analysis                                                                                       |         33 |      2,874 |         21 |        261 |      3,156 |
| dashboard\analysis\components                                                                            |         26 |      2,261 |         17 |        192 |      2,470 |
| dashboard\analysis\components\Charts                                                                     |         16 |      1,489 |         15 |        158 |      1,662 |
| dashboard\analysis\components\Charts\Bar                                                                 |          1 |        114 |          0 |         11 |        125 |
| dashboard\analysis\components\Charts\ChartCard                                                           |          2 |        165 |          0 |         14 |        179 |
| dashboard\analysis\components\Charts\Field                                                               |          2 |         25 |          0 |          5 |         30 |
| dashboard\analysis\components\Charts\Gauge                                                               |          1 |        161 |          0 |         11 |        172 |
| dashboard\analysis\components\Charts\MiniArea                                                            |          1 |        110 |          0 |          3 |        113 |
| dashboard\analysis\components\Charts\MiniBar                                                             |          1 |         40 |          0 |          4 |         44 |
| dashboard\analysis\components\Charts\MiniProgress                                                        |          1 |         43 |          0 |          3 |         46 |
| dashboard\analysis\components\Charts\Pie                                                                 |          1 |        241 |          4 |         26 |        271 |
| dashboard\analysis\components\Charts\TagCloud                                                            |          1 |        165 |          5 |         20 |        190 |
| dashboard\analysis\components\Charts\TimelineChart                                                       |          1 |        127 |          2 |          8 |        137 |
| dashboard\analysis\components\Charts\WaterWave                                                           |          1 |        207 |          4 |         35 |        246 |
| dashboard\analysis\components\NumberInfo                                                                 |          2 |        115 |          0 |          5 |        120 |
| dashboard\analysis\components\PageLoading                                                                |          1 |         11 |          1 |          2 |         14 |
| dashboard\analysis\components\Trend                                                                      |          2 |         58 |          0 |          8 |         66 |
| dashboard\analysis\utils                                                                                 |          3 |        111 |          3 |         18 |        132 |
| dashboard\monitor                                                                                        |         13 |      1,445 |         22 |        138 |      1,605 |
| dashboard\monitor\components                                                                             |          9 |      1,220 |         13 |        127 |      1,360 |
| dashboard\monitor\components\ActiveChart                                                                 |          2 |        132 |          0 |         14 |        146 |
| dashboard\monitor\components\Charts                                                                      |          6 |        946 |         13 |        110 |      1,069 |
| dashboard\monitor\components\Charts\Gauge                                                                |          1 |        161 |          0 |         11 |        172 |
| dashboard\monitor\components\Charts\MiniArea                                                             |          1 |        110 |          0 |          3 |        113 |
| dashboard\monitor\components\Charts\Pie                                                                  |          1 |        241 |          4 |         27 |        272 |
| dashboard\monitor\components\Charts\TagCloud                                                             |          1 |        165 |          5 |         20 |        190 |
| dashboard\monitor\components\Charts\WaterWave                                                            |          1 |        207 |          4 |         35 |        246 |
| dashboard\monitor\components\Map                                                                         |          1 |        142 |          0 |          3 |        145 |
| dashboard\workplace                                                                                      |          8 |      1,170 |          5 |         76 |      1,251 |
| dashboard\workplace\components                                                                           |          4 |        274 |          2 |         32 |        308 |
| dashboard\workplace\components\EditableLinkGroup                                                         |          2 |         46 |          0 |          5 |         51 |
| dashboard\workplace\components\Radar                                                                     |          2 |        228 |          2 |         27 |        257 |
| editor                                                                                                   |         79 |      1,895 |          0 |        246 |      2,141 |
| editor\flow                                                                                              |         26 |        585 |          0 |         82 |        667 |
| editor\flow\common                                                                                       |          1 |          5 |          0 |          1 |          6 |
| editor\flow\common\IconFont                                                                              |          1 |          5 |          0 |          1 |          6 |
| editor\flow\components                                                                                   |         23 |        505 |          0 |         72 |        577 |
| editor\flow\components\EditorContextMenu                                                                 |          6 |        108 |          0 |         19 |        127 |
| editor\flow\components\EditorDetailPanel                                                                 |          6 |        163 |          0 |         21 |        184 |
| editor\flow\components\EditorItemPanel                                                                   |          4 |        116 |          0 |         10 |        126 |
| editor\flow\components\EditorMinimap                                                                     |          1 |          8 |          0 |          3 |         11 |
| editor\flow\components\EditorToolbar                                                                     |          6 |        110 |          0 |         19 |        129 |
| editor\koni                                                                                              |         26 |        592 |          0 |         81 |        673 |
| editor\koni\common                                                                                       |          1 |          5 |          0 |          1 |          6 |
| editor\koni\common\IconFont                                                                              |          1 |          5 |          0 |          1 |          6 |
| editor\koni\components                                                                                   |         23 |        505 |          0 |         70 |        575 |
| editor\koni\components\EditorContextMenu                                                                 |          6 |        108 |          0 |         18 |        126 |
| editor\koni\components\EditorDetailPanel                                                                 |          6 |        163 |          0 |         21 |        184 |
| editor\koni\components\EditorItemPanel                                                                   |          4 |        116 |          0 |         10 |        126 |
| editor\koni\components\EditorMinimap                                                                     |          1 |          8 |          0 |          3 |         11 |
| editor\koni\components\EditorToolbar                                                                     |          6 |        110 |          0 |         18 |        128 |
| editor\mind                                                                                              |         27 |        718 |          0 |         83 |        801 |
| editor\mind\common                                                                                       |          1 |          5 |          0 |          1 |          6 |
| editor\mind\common\IconFont                                                                              |          1 |          5 |          0 |          1 |          6 |
| editor\mind\components                                                                                   |         23 |        505 |          0 |         71 |        576 |
| editor\mind\components\EditorContextMenu                                                                 |          6 |        108 |          0 |         18 |        126 |
| editor\mind\components\EditorDetailPanel                                                                 |          6 |        163 |          0 |         21 |        184 |
| editor\mind\components\EditorItemPanel                                                                   |          4 |        116 |          0 |         10 |        126 |
| editor\mind\components\EditorMinimap                                                                     |          1 |          8 |          0 |          3 |         11 |
| editor\mind\components\EditorToolbar                                                                     |          6 |        110 |          0 |         19 |        129 |
| exception                                                                                                |          3 |         51 |          0 |          3 |         54 |
| exception\403                                                                                            |          1 |         17 |          0 |          1 |         18 |
| exception\404                                                                                            |          1 |         17 |          0 |          1 |         18 |
| exception\500                                                                                            |          1 |         17 |          0 |          1 |         18 |
| form                                                                                                     |         13 |      1,266 |          5 |         80 |      1,351 |
| form\advanced-form                                                                                       |          5 |        815 |          3 |         53 |        871 |
| form\advanced-form\components                                                                            |          1 |        222 |          1 |         29 |        252 |
| form\basic-form                                                                                          |          4 |        205 |          1 |         14 |        220 |
| form\step-form                                                                                           |          4 |        246 |          1 |         13 |        260 |
| list                                                                                                     |         47 |      3,814 |         44 |        302 |      4,160 |
| list\basic-list                                                                                          |          6 |        745 |          4 |         49 |        798 |
| list\basic-list\components                                                                               |          1 |        117 |          0 |          5 |        122 |
| list\basic-list\utils                                                                                    |          1 |         46 |          2 |          3 |         51 |
| list\card-list                                                                                           |          5 |        355 |          3 |         25 |        383 |
| list\card-list\utils                                                                                     |          1 |         46 |          2 |          3 |         51 |
| list\search                                                                                              |         31 |      2,096 |         10 |        166 |      2,272 |
| list\search\applications                                                                                 |          9 |        640 |          4 |         45 |        689 |
| list\search\applications\components                                                                      |          4 |        233 |          0 |         27 |        260 |
| list\search\applications\components\StandardFormRow                                                      |          2 |        103 |          0 |          9 |        112 |
| list\search\applications\components\TagSelect                                                            |          2 |        130 |          0 |         18 |        148 |
| list\search\applications\utils                                                                           |          1 |         46 |          2 |          3 |         51 |
| list\search\articles                                                                                     |         10 |        689 |          1 |         51 |        741 |
| list\search\articles\components                                                                          |          6 |        286 |          0 |         31 |        317 |
| list\search\articles\components\ArticleListContent                                                       |          2 |         51 |          0 |          6 |         57 |
| list\search\articles\components\StandardFormRow                                                          |          2 |        105 |          0 |          8 |        113 |
| list\search\articles\components\TagSelect                                                                |          2 |        130 |          0 |         17 |        147 |
| list\search\projects                                                                                     |         11 |        691 |          4 |         58 |        753 |
| list\search\projects\components                                                                          |          6 |        334 |          0 |         39 |        373 |
| list\search\projects\components\AvatarList                                                               |          2 |         99 |          0 |         14 |        113 |
| list\search\projects\components\StandardFormRow                                                          |          2 |        105 |          0 |          8 |        113 |
| list\search\projects\components\TagSelect                                                                |          2 |        130 |          0 |         17 |        147 |
| list\search\projects\utils                                                                               |          1 |         46 |          2 |          3 |         51 |
| list\table-list                                                                                          |          5 |        618 |         27 |         62 |        707 |
| list\table-list\components                                                                               |          2 |        158 |          0 |          6 |        164 |
| profile                                                                                                  |          8 |        879 |          0 |         40 |        919 |
| profile\advanced                                                                                         |          4 |        556 |          0 |         22 |        578 |
| profile\basic                                                                                            |          4 |        323 |          0 |         18 |        341 |
| result                                                                                                   |          4 |        226 |          0 |          7 |        233 |
| result\fail                                                                                              |          2 |         82 |          0 |          3 |         85 |
| result\success                                                                                           |          2 |        144 |          0 |          4 |        148 |
