"filename", "language", "Markdown", "JSON", "Python", "HTML", "JavaScript", "CSS", "JavaScript React", "Less", "XML", "JSON with Comments", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\.idea\SE-Project-Front.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\工作\软工实验\sep\SE-Project-Front\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"d:\工作\软工实验\sep\SE-Project-Front\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\工作\软工实验\sep\SE-Project-Front\.idea\runConfigurations.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"d:\工作\软工实验\sep\SE-Project-Front\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\工作\软工实验\sep\SE-Project-Front\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 101
"d:\工作\软工实验\sep\SE-Project-Front\config\config.dev.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 1, 15
"d:\工作\软工实验\sep\SE-Project-Front\config\config.js", "JavaScript", 0, 0, 0, 0, 561, 0, 0, 0, 0, 0, 41, 4, 606
"d:\工作\软工实验\sep\SE-Project-Front\config\defaultSettings.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\工作\软工实验\sep\SE-Project-Front\config\oneapi.json", "JSON", 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"d:\工作\软工实验\sep\SE-Project-Front\config\proxy.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 8, 1, 38
"d:\工作\软工实验\sep\SE-Project-Front\config\routes.js", "JavaScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 1, 61
"d:\工作\软工实验\sep\SE-Project-Front\docs\index.md", "Markdown", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 360
"d:\工作\软工实验\sep\SE-Project-Front\jest.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\工作\软工实验\sep\SE-Project-Front\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 0, 11
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649507953619.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649594162262.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649594178239.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db.json", "JSON", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 199
"d:\工作\软工实验\sep\SE-Project-Front\json-server\package-lock.json", "JSON", 0, 3538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3539
"d:\工作\软工实验\sep\SE-Project-Front\json-server\package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\工作\软工实验\sep\SE-Project-Front\json-server\people.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\readme.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\工作\软工实验\sep\SE-Project-Front\json-server\result.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\router.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\工作\软工实验\sep\SE-Project-Front\json-server\server.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 90, 3, 111
"d:\工作\软工实验\sep\SE-Project-Front\mock\listTableList.js", "JavaScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 2, 29, 179
"d:\工作\软工实验\sep\SE-Project-Front\mock\notices.js", "JavaScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 106
"d:\工作\软工实验\sep\SE-Project-Front\mock\route.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\工作\软工实验\sep\SE-Project-Front\mock\user.js", "JavaScript", 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 68, 13, 224
"d:\工作\软工实验\sep\SE-Project-Front\package-lock.json", "JSON", 0, 31601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31602
"d:\工作\软工实验\sep\SE-Project-Front\package.json", "JSON", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 149
"d:\工作\软工实验\sep\SE-Project-Front\people.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\工作\软工实验\sep\SE-Project-Front\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\工作\软工实验\sep\SE-Project-Front\public\pro_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"d:\工作\软工实验\sep\SE-Project-Front\reports\TestRepo.html", "HTML", 0, 0, 0, 1677, 0, 0, 0, 0, 0, 0, 2, 402, 2081
"d:\工作\软工实验\sep\SE-Project-Front\reports\history.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\工作\软工实验\sep\SE-Project-Front\seletest\CustomerContractFill.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"d:\工作\软工实验\sep\SE-Project-Front\seletest\CustomerEntrustFill.py", "Python", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"d:\工作\软工实验\sep\SE-Project-Front\seletest\CustomerQuotationAccept.py", "Python", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\seletest\assign.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\工作\软工实验\sep\SE-Project-Front\seletest\entvertest.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 1, 26
"d:\工作\软工实验\sep\SE-Project-Front\seletest\fill.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 41, 2, 85
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktContractFill.py", "Python", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktContractVerify.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktEntrustVerify.py", "Python", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 2, 52
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktQuotationFill.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
"d:\工作\软工实验\sep\SE-Project-Front\seletest\mktUpload.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 2, 34
"d:\工作\软工实验\sep\SE-Project-Front\seletest\qasTestAssign.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\seletest\test.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 16, 6, 146
"d:\工作\软工实验\sep\SE-Project-Front\seletest\testEntrustVerify.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 2, 40
"d:\工作\软工实验\sep\SE-Project-Front\seletest\test_test.py", "Python", 0, 0, 898, 0, 0, 0, 0, 0, 0, 0, 31, 48, 977
"d:\工作\软工实验\sep\SE-Project-Front\seletest\testsEntrustAssign.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 2, 38
